date,away_team,Away_score,home_team,home_score
5/17/2025,"CS Northridge
Matadors",6,"UC Davis
Aggies",10
5/18/2025,"UC San Diego
Tritons",2,"Hawaii
Rainbow Warriors",13
5/21/2025,"Hawaii
Rainbow Warriors",6,"UC Santa Barbara
Gauchos",2
5/22/2025,"Cal Poly
Mustangs",7,"CS Fullerton
Titans",2
5/22/2025,"Hawaii
Rainbow Warriors",5,"UC Irvine
Anteaters",7
5/23/2025,"Cal Poly
Mustangs",3,"UC Irvine
Anteaters",15
5/23/2025,"CS Fullerton
Titans",4,"Hawaii
Rainbow Warriors",16
5/24/2025,"Cal Poly
Mustangs",2,"Hawaii
Rainbow Warriors",1
5/24/2025,"Cal Poly
Mustangs",15,"UC Irvine
Anteaters",5
5/25/2025,"Cal Poly
Mustangs",6,"UC Irvine
Anteaters",4
