Date,away_team,away_score,home_team,home_score,innings
4/5/2025,"UC Riverside
 Highlanders",2,"CS Bakersfield
 Roadrunners",0,9
4/5/2025,"Long Beach St
 49ers",3,"Hawaii
 Rainbow Warriors",2,9
4/5/2025,"UC Davis
 Aggies",0,"UC Santa Barbara
 Gauchos",5,9
4/5/2025,"UC San Diego
 Tritons",3,"Cal Poly
 Mustangs",8,9
4/6/2025,"CS Fullerton
 Titans",10,"CS Northridge
 Matadors",8,9
4/6/2025,"UC Irvine
 Anteaters",4,"Oregon St
 Beavers",7,9
4/6/2025,"UC Riverside
 Highlanders",1,"CS Bakersfield
 Roadrunners",3,9
4/6/2025,"Long Beach St
 49ers",5,"Hawaii
 Rainbow Warriors",4,9
4/6/2025,"UC Davis
 Aggies",2,"UC Santa Barbara
 Gauchos",8,9
4/6/2025,"UC San Diego
 Tritons",11,"Cal Poly
 Mustangs",12,9
4/7/2025,"UC Davis
 Aggies",0,"Stanford
 Cardinal",4,9
4/8/2025,"CS Sacramento
 Hornets",0,"UC Davis
 Aggies",14,9
4/8/2025,"CS Northridge
 Matadors",11,"Arizona St
 Sun Devils",20,9
4/8/2025,"UC San Diego
 Tritons",8,"San Diego
 Toreros",9,9
4/8/2025,"San Jose St
 Spartans",5,"Cal Poly
 Mustangs",8,9
4/8/2025,"Hawaii
 Rainbow Warriors",5,"Santa Clara
 Broncos",3,9
4/8/2025,"Pepperdine
 Waves",4,"UC Santa Barbara
 Gauchos",9,9
4/8/2025,"Long Beach St
 49ers",1,"UCLA
 Bruins",12,9
4/8/2025,"Westcliff
 Warriors",2,"CS Bakersfield
 Roadrunners",10,9
4/8/2025,"Westcliff
 Warriors",5,"CS Bakersfield
 Roadrunners",13,9
4/11/2025,"Oregon St
 Beavers",7,"CS Fullerton
 Titans",3,9
4/11/2025,"UC Irvine
 Anteaters",4,"UC Davis
 Aggies",1,9
4/11/2025,"Hawaii
 Rainbow Warriors",4,"Cal Poly
 Mustangs",2,9
4/11/2025,"CS Bakersfield
 Roadrunners",2,"Long Beach St
 49ers",3,9
4/11/2025,"UC Santa Barbara
 Gauchos",13,"UC Riverside
 Highlanders",4,9
4/11/2025,"CS Northridge
 Matadors",7,"UC San Diego
 Tritons",3,9
4/12/2025,"Oregon St
 Beavers",17,"CS Fullerton
 Titans",10,9
4/12/2025,"UC Irvine
 Anteaters",3,"UC Davis
 Aggies",7,9
4/12/2025,"Hawaii
 Rainbow Warriors",5,"Cal Poly
 Mustangs",12,9
4/12/2025,"CS Bakersfield
 Roadrunners",5,"Long Beach St
 49ers",7,9
4/12/2025,"UC Santa Barbara
 Gauchos",18,"UC Riverside
 Highlanders",8,9
4/12/2025,"CS Northridge
 Matadors",5,"UC San Diego
 Tritons",9,9
4/13/2025,"Oregon St
 Beavers",9,"CS Fullerton
 Titans",8,9
4/13/2025,"UC Irvine
 Anteaters",13,"UC Davis
 Aggies",2,9
4/13/2025,"Hawaii
 Rainbow Warriors",2,"Cal Poly
 Mustangs",5,9
4/13/2025,"CS Bakersfield
 Roadrunners",12,"Long Beach St
 49ers",6,9
4/13/2025,"UC Santa Barbara
 Gauchos",5,"UC Riverside
 Highlanders",3,9
4/13/2025,"CS Northridge
 Matadors",6,"UC San Diego
 Tritons",23,9
4/14/2025,"UC Santa Barbara
 Gauchos",6,"Cal Baptist
 Lancers",7,9
4/15/2025,"Pepperdine
 Waves",3,"CS Fullerton
 Titans",13,9
4/15/2025,"CS Sacramento
 Hornets",8,"UC Davis
 Aggies",2,9
4/15/2025,"Hawaii
 Rainbow Warriors",5,"USC
 Trojans",4,9
4/15/2025,"Santa Clara
 Broncos",0,"Cal Poly
 Mustangs",1,9
4/15/2025,"CS Bakersfield
 Roadrunners",7,"Pacific
 Tigers",0,9
4/15/2025,"Loy Marymount
 Lions",15,"UC Irvine
 Anteaters",5,9
4/15/2025,"Portland
 Pilots",14,"CS Northridge
 Matadors",6,9
4/15/2025,"UC San Diego
 Tritons",14,"San Diego St
 Aztecs",3,9
4/17/2025,"Long Beach St
 49ers",4,"CS Fullerton
 Titans",5,9
4/17/2025,"Hawaii
 Rainbow Warriors",1,"UC Irvine
 Anteaters",3,9
4/17/2025,"Cal Poly
 Mustangs",4,"UC Santa Barbara
 Gauchos",3,9
4/17/2025,"UC Davis
 Aggies",3,"CS Bakersfield
 Roadrunners",1,9
4/17/2025,"UC San Diego
 Tritons",7,"UC Riverside
 Highlanders",3,9
4/17/2025,"Oregon St
 Beavers",13,"CS Northridge
 Matadors",8,9
4/18/2025,"Long Beach St
 49ers",8,"CS Fullerton
 Titans",5,9
4/18/2025,"Hawaii
 Rainbow Warriors",0,"UC Irvine
 Anteaters",4,9
4/18/2025,"Cal Poly
 Mustangs",4,"UC Santa Barbara
 Gauchos",5,9
4/18/2025,"UC Davis
 Aggies",5,"CS Bakersfield
 Roadrunners",2,9
4/18/2025,"UC San Diego
 Tritons",11,"UC Riverside
 Highlanders",0,9
4/18/2025,"Oregon St
 Beavers",16,"CS Northridge
 Matadors",11,9
4/19/2025,"Long Beach St
 49ers",4,"CS Fullerton
 Titans",6,9
4/19/2025,"Hawaii
 Rainbow Warriors",0,"UC Irvine
 Anteaters",5,9
4/19/2025,"Cal Poly
 Mustangs",0,"UC Santa Barbara
 Gauchos",4,9
4/19/2025,"UC Davis
 Aggies",8,"CS Bakersfield
 Roadrunners",2,9
4/19/2025,"UC San Diego
 Tritons",6,"UC Riverside
 Highlanders",7,9
4/19/2025,"Oregon St
 Beavers",15,"CS Northridge
 Matadors",12,9
4/21/2025,"Cal Baptist
 Lancers",6,"UC Santa Barbara
 Gauchos",7,9
4/21/2025,"CS Bakersfield
 Roadrunners",1,"Pepperdine
 Waves",2,9
4/21/2025,"Loy Marymount
 Lions",5,"UC San Diego
 Tritons",6,9
4/21/2025,"UC Davis
 Aggies",1,"Stanford
 Cardinal",11,9
4/22/2025,"CS Fullerton
 Titans",3,"San Diego St
 Aztecs",13,9
4/22/2025,"UCLA
 Bruins",3,"UC Irvine
 Anteaters",5,9
4/22/2025,"USC
 Trojans",12,"Long Beach St
 49ers",2,9
4/22/2025,"Fresno St
 Bulldogs",6,"Cal Poly
 Mustangs",11,9
4/22/2025,"Pepperdine
 Waves",1,"CS Bakersfield
 Roadrunners",18,9
4/22/2025,"UNLV
 Runnin' Rebels",7,"UC Riverside
 Highlanders",6,9
4/22/2025,"Chaminade
 Silverswords",7,"Hawaii
 Rainbow Warriors",14,9
4/23/2025,"Washington St
 Cougars",1,"UC Davis
 Aggies",6,9
4/25/2025,"CS Fullerton
 Titans",2,"UC Davis
 Aggies",1,9
4/25/2025,"UC Riverside
 Highlanders",4,"CS Sacramento
 Hornets",8,9
4/25/2025,"UC Irvine
 Anteaters",6,"Cal Poly
 Mustangs",4,9
4/25/2025,"UC Santa Barbara
 Gauchos",4,"UC San Diego
 Tritons",6,9
4/25/2025,"CS Northridge
 Matadors",7,"Long Beach St
 49ers",13,9
4/25/2025,"CS Bakersfield
 Roadrunners",7,"Hawaii
 Rainbow Warriors",6,9
